provider,id,description,package,title,name,level,risk-level,security,reliability,performance-efficiency,cost-optimisation,operational-excellence,release-date,update-date,knowledge-base-html,multi-risk-level,must-be-configured,not-scored,categories
aws,EC2-011,Determine if the number of EC2 instances per region is close to EC2 Service Limit,base,Account Instance Limit,InstanceLimit,service,MEDIUM,NO,NO,YES,NO,NO,2017-01-01,2019-10-09,https://www.cloudconformity.com/knowledge-base/aws/EC2/account-instance-limit.html,,,,
aws,EC2-012,Determine if there is an excessive number of security groups per region,base,Security Group Excessive Counts,SecurityGroupExcessiveCounts,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-09-27,https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-counts.html,,,,
aws,EC2-013,Determine if there is a large number of security groups per region,base,Security Group Large Counts,SecurityGroupLargeCounts,service,LOW,YES,NO,NO,NO,NO,2017-01-01,2018-09-27,https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-counts.html,,,,
aws,EC2-014,Determine if there is a large number of rules in a security group,base,Security Group Rules Counts,SecurityGroupRulesCounts,resource,LOW,YES,NO,YES,NO,NO,2017-01-01,2018-09-27,https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-rules-counts.html,,,,
aws,EC2-015,Determine if there is a large number of security group rules applied to an instance,base,EC2 Instance Security Group Rules Counts,InstanceSecurityGroupsRulesCounts,service,LOW,NO,NO,YES,NO,NO,2017-01-01,2018-09-27,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-instance-security-group-rules-counts.html,,,,
aws,EC2-016,Ensure the default security group of every VPC restricts all traffic,base,Default Security Group Unrestricted,DefaultSecurityGroupUnrestricted,resource,LOW,YES,NO,NO,NO,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/default-security-group-unrestricted.html,,,,
aws,EC2-017,Ensure all EC2 instances are of a given instance type,base,EC2 Desired Instance Type,EC2DesiredInstanceType,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-desired-instance-type.html,,True,,
aws,EC2-018,Ensure fewer EC2 instances than provided count in your account,base,EC2 Instance Counts,InstanceCounts,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-09-27,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-instance-counts.html,,,,
aws,EC2-019,Ensure AMIs are not publicly shared to avoid exposing sensitive data,base,Publicly Shared AMI,PubliclySharedAMI,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-05-23,https://www.cloudconformity.com/knowledge-base/aws/EC2/publicly-shared-ami.html,,,,
aws,EC2-020,Identify EC2 instances that have scheduled events and take action to resolve them,base,EC2 Instance Scheduled Events,InstanceScheduledEvents,resource,HIGH,NO,YES,NO,NO,NO,2017-01-01,2018-04-26,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-instance-scheduled-events.html,,,,
aws,EC2-021,Ensure IAM instance roles are used for AWS resource access from instances,base,EC2 Instance Using IAM Roles,InstanceUsingIAMRoles,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-instance-using-iam-roles.html,,,,
aws,EC2-022,Ensure EC2 instances are not too old,base,EC2 Instance Too Old,InstanceTooOld,resource,LOW,YES,YES,NO,NO,NO,2017-01-01,2018-09-27,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-instance-too-old.html,,,,
aws,EC2-023,"Ensure EC2-VPC is being used for instances instead of EC2-Classic to gain better flexibility and control over security, traffic routing and availability",base,EC2 Instance In VPC,InstanceInVPC,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-11-19,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-instance-in-vpc.html,,,,
aws,EC2-024,"Identify unassociated Elastic IP addresses, and delete them to help lower the cost of your monthly AWS bill",base,Unassociated Elastic IP Addresses,AddressUnassociated,service,LOW,NO,NO,NO,YES,NO,2017-01-01,2019-11-20,https://www.cloudconformity.com/knowledge-base/aws/EC2/unassociated-elastic-ip-addresses.html,,,,
aws,EC2-025,Ensure EC2 instances have desired tenancy for compliance and regulatory requirements,base,EC2 Instance Tenancy,InstanceTenancy,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-instance-tenancy.html,,,,
aws,EC2-026,"Identify unused Amazon Machine Images (AMI), and delete them to help lower the cost of your monthly AWS bill",base,Unused AMI,AMIUnused,service,LOW,NO,NO,NO,YES,NO,2017-01-01,2020-10-14,https://www.cloudconformity.com/knowledge-base/aws/EC2/unused-ami.html,,,,
aws,EC2-027,Ensure every EC2 instance is launched inside an Auto Scaling Group to help improve the availability and scalability of your applications,base,Instance In Auto Scaling Group,InstanceInASG,service,MEDIUM,YES,YES,NO,NO,NO,2017-01-01,2019-11-20,https://www.cloudconformity.com/knowledge-base/aws/EC2/instance-in-auto-scaling-group.html,,,,
aws,EC2-028,Ensure all EC2 instances are launched from your approved AMIs,base,Approved/Golden AMIs,AMIApproved,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/approved-golden-amis.html,,True,,
aws,EC2-029,Ensure you always use the latest generation of EC2 instances to get better performance with lower cost,base,EC2 Instance Generation,InstanceGeneration,resource,MEDIUM,NO,NO,YES,YES,NO,2017-01-01,2020-09-04,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-instance-generation.html,,,,
aws,EC2-030,Ensure termination protection safety feature is enabled for ec2 instances that are not part of ASGs,base,EC2 Instance Termination Protection,InstanceTerminationProtection,service,MEDIUM,NO,YES,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-instance-termination-protection.html,,,,
aws,EC2-031,Ensure default security groups are not in use. Instead create unique security groups to better adhere to the principle of least privilege,base,Default Security Groups In Use,DefaultSecurityGroupsInUse,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/default-securitygroups-in-use.html,,,,
aws,EC2-032,Ensure no security group contains RFC 1918 CIDRs,base,SecurityGroup RFC 1918,SecurityGroupRFC1918,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-rfc1918.html,,,,
aws,EC2-033,Ensure no security group contains any 0.0.0.0/0 egress rules,base,Unrestricted Security Group Egress,SecurityGroupEgressAny,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-11-19,https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-egress-any.html,,,,
aws,EC2-034,Ensure no security group contains any 0.0.0.0/0 ingress rules,base,Unrestricted Security Group Ingress,SecurityGroupIngressAny,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-11-19,https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-ingress-any.html,,,,
aws,EC2-035,Follow proper naming conventions for EC2 instances,base,EC2 Instance Naming Conventions,InstanceNamingConventions,resource,LOW,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-instance-naming-conventions.html,,True,,
aws,EC2-036,Follow proper naming conventions for security groups,base,Security Group Naming Conventions,SecurityGroupNamingConventions,resource,LOW,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-naming-conventions.html,,True,,
aws,EC2-037,Follow proper naming conventions for Amazon Machine Images,base,AMI Naming Conventions,AMINamingConventions,resource,LOW,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/ami-naming-conventions.html,,True,,
aws,EC2-038,Ensure no security group allows unrestricted inbound access to TCP port 23 (Telnet),base,Unrestricted Telnet Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-telnet-access.html,,,,
aws,EC2-039,Ensure no security group allows unrestricted inbound access to TCP port 25 (SMTP),base,Unrestricted SMTP Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-smtp-access.html,,,,
aws,EC2-040,Ensure no security group allows unrestricted inbound access to TCP port 135 (RPC),base,Unrestricted RPC Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-rpc-access.html,,,,
aws,EC2-041,"Ensure no security group allows unrestricted inbound access to port UDP/137, UDP/138, and TPC/139 (NetBIOS)",base,Unrestricted NetBIOS Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-netbios-access.html,,,,
aws,EC2-042,Ensure no security group allows unrestricted inbound access to TCP ports 20 and 21 (FTP),base,Unrestricted FTP Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-ftp-access.html,,,,
aws,EC2-043,Ensure no security group allows unrestricted inbound access to UDP port 445 (CIFS),base,Unrestricted CIFS Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-cifs-access.html,,,,
aws,EC2-044,Ensure no security group allows unrestricted inbound access to ICMP,base,Unrestricted ICMP Access,UnrestrictedICMPAccess,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-11-19,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-icmp-access.html,,,,
aws,EC2-045,Ensure no security group allows unrestricted ingress access to port 27017,base,Unrestricted MongoDB Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-mongodb-access.html,,,,
aws,EC2-046,Ensure no EC2 instance is launched from any blocklisted AMIs,base,Blocklisted AMIs,AMIBlocklisted,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/blocklisted-amis.html,,True,,
aws,EC2-047,Identify any Amazon EC2 instances that appear to be idle and stop or terminate them to help lower the cost of your monthly AWS bill,base,Idle EC2 Instance,InstanceIdle,resource,HIGH,NO,NO,NO,YES,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/idle-instance.html,,,,
aws,EC2-048,Ensure EC2 Reserved Instances are renewed 7 days before expiration,base,Reserved Instance Lease Expiration In The Next 7 Days,ReservedInstanceLeaseExpirationIn7Days,resource,HIGH,NO,NO,NO,YES,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/reserved-instance-lease-expiration-in-7-days.html,,,,
aws,EC2-049,Ensure EC2 Reserved Instances are renewed 30 days before expiration,base,Reserved Instance Lease Expiration In The Next 30 Days,ReservedInstanceLeaseExpirationIn30Days,resource,MEDIUM,NO,NO,NO,YES,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/reserved-instance-lease-expiration-in-30-days.html,,,,
aws,EC2-050,Ensure EC2 Reserved Instances purchases have not failed,base,EC2 Reserved Instance Payment Failed,ReservedInstancePaymentFailed,resource,HIGH,NO,NO,NO,YES,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/reserved-instance-payment-failed.html,,,,
aws,EC2-051,Ensure EC2 Reserved Instances purchases are not pending,base,EC2 Reserved Instance Payment Pending,ReservedInstancePaymentPending,resource,HIGH,NO,NO,NO,YES,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/reserved-instance-payment-pending.html,,,,
aws,EC2-052,Ensure EC2 Reserved Instances purchases are regularly reviewed,base,EC2 Reserved Instance Recent Purchases,ReservedInstanceRecentPurchases,resource,LOW,NO,NO,NO,YES,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/reserved-instance-recent-purchases.html,,,True,
aws,EC2-053,Ensure dedicated EC2 instances are regularly reviewed,base,EC2 Instance Dedicated Tenancy,InstanceDedicatedTenancy,resource,MEDIUM,NO,NO,NO,YES,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/instance-dedicated-tenancy.html,,,True,
aws,EC2-054,Ensure that your Amazon EC2 Reserved Instances are being fully utilized,base,Unused EC2 Reserved Instances,ReservedInstancesUnused,cross-account,HIGH,NO,NO,NO,YES,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/unused-reserved-instances.html,,,,
aws,EC2-055,Identify underutilized EC2 instances and downsize them in order to optimize your AWS costs,base,Underutilized EC2 Instance,UnderutilizedEC2Instance,resource,HIGH,NO,NO,NO,YES,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/underutilized-instance.html,,,,
aws,EC2-056,Ensure unused AWS EC2 key pairs are decommissioned to follow AWS security best practices,base,Unused AWS EC2 Key Pairs,UnusedKeyPairs,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2020-11-10,https://www.cloudconformity.com/knowledge-base/aws/EC2/unused-key-pairs.html,,,,
aws,EC2-057,Ensure that your existing AMIs are encrypted to meet security and compliance requirements,base,AWS AMI Encryption,AMIEncrypted,resource,HIGH,YES,NO,NO,NO,NO,2017-01-01,2018-05-23,https://www.cloudconformity.com/knowledge-base/aws/EC2/ami-encrypted.html,,,,
aws,EC2-058,Ensure that detailed monitoring is enabled for the AWS EC2 instances that you need to monitor closely,base,EC2 Instance Detailed Monitoring,DetailedMonitoring,resource,LOW,NO,YES,YES,NO,YES,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/instance-detailed-monitoring.html,,,,
aws,EC2-059,Ensure AWS EC2 security group rules have descriptive text for organization and documentation,base,Descriptions for Security Group Rules,SecurityGroupRulesDescription,resource,LOW,YES,NO,NO,NO,YES,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-rules-description.html,,,,
aws,EC2-060,Identify and delete any unused Elastic Network Interfaces,base,Unused Elastic Network Interfaces,UnusedElasticNetworkInterfaces,resource,LOW,NO,NO,YES,NO,NO,2017-01-01,2018-07-15,https://www.cloudconformity.com/knowledge-base/aws/EC2/unused-elastic-network-interfaces.html,,,,
aws,EC2-061,Ensure no security group name is prefixed with 'launch-wizard',base,Security Group Name Prefixed With 'launch-wizard',SecurityGroupPrefixedWithLaunchWizard,resource,LOW,YES,NO,NO,NO,NO,2018-04-09,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-prefixed-with-launch-wizard.html,,,,
aws,EC2-062,Ensure EC2 Amazon Machine Images (AMIs) are not too old,base,EC2 AMI Too Old,AMITooOld,resource,LOW,YES,YES,NO,NO,NO,2018-09-27,2018-09-27,https://www.cloudconformity.com/knowledge-base/aws/EC2/ami-too-old.html,,,,
aws,EC2-063,Ensure no security group allows unrestricted ingress access to port 9200,base,Unrestricted Elasticsearch Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2018-12-06,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-elasticsearch-access.html,,,,
aws,EC2-064,Ensure no security group allows unrestricted ingress access to port 80,base,Unrestricted HTTP Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2018-12-06,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-http-access.html,,,,
aws,EC2-065,Ensure no security group allows unrestricted ingress access to port 443,base,Unrestricted HTTPS Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2018-12-06,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-https-access.html,,,,
aws,EC2-066,Enable hibernation as an additional stop behavior for your EC2 instances backed by Amazon EBS in order to reduce the time it takes for these instances to return to service at restart,base,EC2 Hibernation,Hibernation,resource,LOW,NO,YES,NO,NO,NO,2019-04-04,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/hibernation.html,,,,
aws,EC2-067,Ensure web-tier AMIs are not publicly shared to avoid exposing sensitive data,base,Web-Tier Publicly Shared AMI,PubliclySharedAMI,resource,MEDIUM,YES,NO,NO,NO,NO,2019-08-23,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/web-tier-ami-publicly-shared.html,,True,,
aws,EC2-068,Ensure app-tier AMIs are not publicly shared to avoid exposing sensitive data,base,App-Tier Publicly Shared AMI,PubliclySharedAMI,resource,MEDIUM,YES,NO,NO,NO,NO,2019-08-23,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/app-tier-ami-publicly-shared.html,,True,,
aws,EC2-069,Ensure web-tier IAM instance roles are used for AWS resource access from instances,base,Web-Tier EC2 Instance Using IAM Roles,InstanceUsingIAMRoles,resource,MEDIUM,YES,NO,NO,NO,NO,2019-08-23,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/web-tier-iam-role-for-ec2.html,,True,,
aws,EC2-070,Ensure app-tier IAM instance roles are used for AWS resource access from instances,base,App-Tier EC2 Instance Using IAM Roles,InstanceUsingIAMRoles,resource,MEDIUM,YES,NO,NO,NO,NO,2019-08-23,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/app-tier-iam-role-for-ec2.html,,True,,
aws,EC2-071,"Ensure there is no EC2 instance with the instance type blocklisted, available in your AWS account.",base,Check for EC2 Instances with Blocklisted Instance Types,BlocklistedInstanceType,resource,HIGH,YES,NO,NO,NO,NO,2020-06-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/blocklisted-instance-type.html,,True,,
aws,EC2-072,Ensure that no backend EC2 instances are provisioned in public subnets.,base,EC2 Instance Not In Public Subnet,NotInPublicSubnet,service,HIGH,YES,NO,NO,NO,NO,2020-06-30,2020-09-21,https://www.cloudconformity.com/knowledge-base/aws/EC2/instance-not-in-public-subnet.html,,,,
aws,EC2-073,Identify any Amazon EC2 instances that appear to be overutilized and upgrade (resize) them in order to help your EC2-hosted applications to handle better the workload and improve the response time.,base,Overutilized AWS EC2 Instances,OverutilizedEC2Instance,resource,HIGH,NO,NO,YES,NO,NO,2020-06-30,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/overutilized-ec2-instance.html,,,,
aws,EC2-074,Ensure that no security group allows unrestricted inbound access on TCP port 6379 (Redis).,base,Check for Unrestricted Redis Access,SecurityGroupUnrestrictedPortAccess,service,VERY_HIGH,YES,NO,NO,NO,NO,2020-01-20,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-redis-access.html,,,,
aws,EC2-075,Ensure that no security group allows unrestricted inbound access on TCP/UDP port 11211 (Memcached),base,Check for Unrestricted Memcached Access,SecurityGroupUnrestrictedPortAccess,service,VERY_HIGH,YES,NO,NO,NO,NO,2020-01-20,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-memcache-access.html,,,,
aws,ELB-001,"Identify unused Elastic Load Balancers, and delete them to help lower the cost of your monthly AWS bill",base,Unused Elastic Load Balancers,ELBUnused,resource,LOW,NO,NO,NO,YES,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/unused-elastic-load-balancers.html,,,,
aws,ELB-002,Ensure Cross-Zone Load Balancing is enabled for all load balancers. Also select at least two subnets in different availability zones to provide higher availability,base,ELB Cross-Zone Load Balancing Enabled,ELBCrossZoneLoadBalancingEnabled,resource,MEDIUM,NO,YES,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/elb-cross-zone-load-balancing-enabled.html,,,,
aws,ELB-003,Ensure connection draining is enabled for all load balancers,base,ELB Connection Draining Enabled,ELBConnectionDrainingEnabled,resource,MEDIUM,NO,YES,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/elb-connection-draining-enabled.html,,,,
aws,ELB-004,Ensure ELBs use the latest predefined security policies,base,ELB Security Policy,ELBSecurityPolicy,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/elb-security-policy.html,,,,
aws,ELB-005,Ensure ELBs do not use insecure SSL protocols,base,ELB Insecure SSL Protocols,ELBInsecureProtocols,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/elb-insecure-ssl-protocols.html,,,,
aws,ELB-006,Ensure ELBs do not use insecure SSL ciphers,base,ELB Insecure SSL Ciphers,ELBInsecureCiphers,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/elb-insecure-ssl-ciphers.html,,,,
aws,ELB-007,Check your Elastic Load Balancer (ELB) security layer for at least one valid security group that restricts access only to the ports defined in the load balancer listener's configuration,base,ELB Security Group,ELBSecurityGroup,service,HIGH,YES,NO,NO,NO,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/elb-security-group.html,,,,
aws,ELB-008,Ensure ELB listener uses a secure HTTPS or SSL protocol,base,ELB Listener Security,ELBListenerSecurity,resource,HIGH,YES,NO,NO,NO,NO,2017-01-01,2020-06-30,https://www.cloudconformity.com/knowledge-base/aws/ELB/elb-listener-security.html,,,,
aws,ELB-009,"Ensure ELB access logging is enabled for security, troubleshooting, and statistical analysis purposes",base,ELB Access Log,ELBAccessLog,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/elb-access-log.html,,,,
aws,ELB-010,Ensure there are a minimum of two healthy instances associated each ELB,base,ELB Minimum Number Of EC2 Instances,ELBMinimumNumberOfEC2Instances,resource,HIGH,NO,YES,NO,NO,NO,2017-01-01,2018-04-09,https://www.cloudconformity.com/knowledge-base/aws/ELB/elb-minimum-number-of-ec2-instances.html,,,,
aws,ELB-011,Ensure HTTP/HTTPS applications are using Application Load Balancer instead of Classic Load Balancer for cost and web traffic distribution optimization,base,Classic Load Balancer,ELBClassic,resource,MEDIUM,NO,NO,YES,YES,NO,2017-01-01,2020-06-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/elb-classic.html,,,,
aws,ELB-012,Identify any Amazon ELBs that appear to be idle and terminate them to help lower the cost of your monthly AWS bill,base,Idle Elastic Load Balancer,ELBIdle,resource,HIGH,NO,NO,NO,YES,NO,2017-01-01,2020-09-04,https://www.cloudconformity.com/knowledge-base/aws/ELB/idle-elastic-load-balancer.html,,,,
aws,ELB-013,Ensure Amazon internet-facing ELBs/ALBs are regularly reviewed for security purposes,base,Internet Facing ELBs,InternetFacingLBs,resource,HIGH,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/internet-facing-load-balancers.html,,,True,
aws,ELB-014,Ensure even distribution of backend instances registered to an ELB across Availability Zones,base,ELB Instances Distribution Across AZs,InstancesDistributionAcrossAvailabilityZones,resource,MEDIUM,NO,YES,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/ec2-instances-distribution-across-availability-zones.html,,,,
aws,ELB-015,Ensure web-tier ELBs use the latest predefined security policies,base,Web-Tier ELB Security Policy,ELBSecurityPolicy,resource,MEDIUM,YES,NO,NO,NO,NO,2019-08-23,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/web-tier-elb-latest-ssl-security-policies.html,,True,,
aws,ELB-016,Ensure app-tier ELBs use the latest predefined security policies,base,App-Tier ELB Security Policy,ELBSecurityPolicy,resource,MEDIUM,YES,NO,NO,NO,NO,2019-08-23,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/ELB/app-tier-elb-latest-ssl-security-policies.html,,True,,
